Date,Open,High,Low,Close,Adj Close,Volume
3/2/2018,46580,46800,46000,46020,40205.21484,13265500
3/5/2018,45820,46160,45080,45200,39488.82031,14100950
3/6/2018,45920,47100,45820,47020,41078.85938,15423350
3/7/2018,48200,48900,47220,48620,42476.69531,21427050
3/8/2018,49200,49480,48080,49200,42983.40625,19463650
3/9/2018,49440,50540,49240,49740,43455.18359,14304400
3/12/2018,50560,50780,49580,49740,43455.18359,8688950
3/13/2018,50760,51660,50360,51660,45132.57031,20098700
3/14/2018,51020,52000,51000,51760,45219.94141,12713250
3/15/2018,52000,52020,51020,51540,45027.73047,8882450
3/16/2018,51220,51420,50240,51140,44678.27734,12184900
3/19/2018,50620,51340,50440,50740,44328.81641,8218850
3/20/2018,50700,51200,50100,51200,44730.69531,8193250
3/21/2018,51780,51780,51060,51060,44608.39844,8905200
3/22/2018,51060,51780,51040,51780,45237.40625,8454100
3/23/2018,50340,50720,49600,49720,43437.70703,14854950
3/26/2018,49420,50280,49040,50280,43926.94141,10057750
3/27/2018,50320,50460,49080,49980,43664.85156,11874000
3/28/2018,49100,49100,48340,48700,42546.57813,15159450
3/29/2018,48700,49560,48320,49040,43157.33594,10067000
3/30/2018,49080,49900,49080,49220,43315.74609,7777100
4/2/2018,49000,49220,48500,48540,42717.29688,7115650
4/3/2018,47880,48140,47280,48120,42347.6875,12768250
4/4/2018,48160,48260,46920,46920,41291.63672,12384200
4/5/2018,47400,49380,47340,48740,42893.32422,13245600
4/6/2018,48000,48580,47400,48400,42594.10547,12532700
4/9/2018,48260,49440,48200,49200,43298.13672,9950400
4/10/2018,48540,49220,48040,48880,43016.52734,10984350
4/11/2018,49900,49900,48600,48860,42998.92578,10051100
4/12/2018,49440,49440,48880,49000,43122.125,12466250
4/13/2018,49600,50180,49400,49800,43826.16797,10278300
4/16/2018,50320,50600,49860,50340,44301.39063,7877450
4/17/2018,50240,50540,49820,49980,43984.57031,7772000
4/18/2018,51000,51360,50580,51360,45199.03125,13462600
4/19/2018,52000,52980,51540,52780,46448.68359,17190550
4/20/2018,51800,52260,51420,51620,45427.83984,11761000
4/23/2018,51000,52080,51000,51900,45674.25391,11619000
4/24/2018,51840,51860,50080,50460,44406.99609,15770300
4/25/2018,49220,50500,49220,50400,44354.19141,16614600
4/26/2018,50420,52160,50400,52140,45885.46094,18046550
