Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,44019.949219,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,44452.871094,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,44383.601563,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,43309.945313,10889200
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,43933.351563,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,45024.332031,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,44833.835938,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,45110.914063,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,44435.554688,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,44210.441406,20310400
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,43829.460938,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,44331.644531,7350250
2017-12-19,51540.000000,52080.000000,51520.000000,51560.000000,44643.359375,11978600
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,42547.996094,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,43032.871094,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,41734.089844,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,43123.195313,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,44521.019531,8985450
2018-01-02,51380.000000,51400.000000,50780.000000,51020.000000,44573.437500,8474250
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,45097.632813,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,44625.863281,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,45534.457031,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,45447.085938,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,44031.781250,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,42668.894531,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,42144.710938,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,42109.757813,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,42406.796875,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,43682.320313,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,43350.335938,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,43594.960938,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,43088.238281,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,42144.710938,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,42948.464844,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,43105.718750,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,43909.472656,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,44363.769531,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,44748.167969,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,43507.593750,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,43594.960938,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,43525.054688,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,41672.937500,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,41865.144531,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,41428.308594,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,40013.011719,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,40187.738281,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,39051.996094,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,39943.113281,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,41533.144531,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,42808.675781,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,42267.027344,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,41410.843750,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,41306.003906,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,40851.703125,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,41253.585938,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,41393.371094,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,41393.371094,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,41113.796875,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,40205.214844,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,39488.820313,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,41078.859375,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,42476.695313,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,42983.406250,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,43455.183594,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,43455.183594,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,45132.570313,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,45219.941406,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,45027.730469,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,44678.277344,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,44328.816406,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,44730.695313,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,44608.398438,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,45237.406250,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,43437.707031,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,43926.941406,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,43664.851563,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,42546.578125,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,43157.335938,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,43315.746094,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,42717.296875,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,42347.687500,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,41291.636719,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,42893.324219,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,42594.105469,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,43298.136719,9950400
